Element,K,L,M
H,0.000,0.000,0.000
He,0.000,0.000,0.000
Li,0.000,0.000,0.000
Be,124.024,0.000,0.000
B,5.043,0.000,0.000
C,2.752,0.000,0.000
N,1.667,0.000,0.000
O,1.240,0.000,0.000
F,1.179,0.000,0.000
Ne,0.824,0.000,0.000
Na,0.882,0.000,0.000
Mg,0.939,0.000,0.000
Al,1.002,0.000,0.000
Si,1.000,0.000,0.000
P,1.096,0.000,0.000
S,1.039,0.000,0.000
Cl,1.093,0.000,0.000
Ar,1.188,0.000,0.000
K,1.119,0.000,0.000
Ca,1.200,31.337,0.000
Sc,1.232,21.223,0.000
Ti,1.249,15.857,0.000
V,1.297,9.514,0.000
Cr,1.314,5.235,0.000
Mn,1.396,3.360,0.000
Fe,1.440,2.116,0.000
Co,1.552,1.922,0.000
Ni,1.587,1.582,0.000
Cu,1.773,1.523,0.000
Zn,1.895,1.631,0.000
Ga,2.112,2.026,0.000
Ge,2.322,2.008,0.000
As,2.561,2.109,0.000
Se,2.923,2.156,0.000
Br,3.255,2.135,0.000
Kr,3.780,2.220,0.000
Rb,4.364,2.227,0.000
Sr,5.075,2.279,0.000
Y,5.919,2.438,0.000
Zr,7.018,2.458,0.000
Nb,8.282,2.410,0.000
Mo,10.021,2.464,0.000
Tc,12.010,2.628,0.000
Ru,14.672,2.595,0.000
Rh,17.523,2.728,0.000
Pd,21.416,2.847,0.000
Ag,25.856,2.914,0.000
Cd,31.748,3.052,0.000
In,38.737,3.049,0.000
Sn,47.291,3.427,0.000
Sb,57.584,3.546,0.000
Te,71.403,3.702,0.000
I,83.812,3.679,0.000
Xe,102.774,3.773,0.000
Cs,122.868,3.798,0.000
Ba,150.444,3.907,208.795
La,179.606,3.894,32.017
Ce,213.080,3.890,19.339
Pr,252.760,3.879,14.609
Nd,303.895,3.940,11.826
Pm,357.415,3.948,9.249
Sm,434.673,4.138,9.091
Eu,513.444,4.153,6.834
Gd,621.351,4.276,3.561
Tb,733.816,4.282,5.246
Dy,873.762,4.320,4.151
Ho,1034.116,4.386,3.867
Er,1218.828,4.407,3.773
Tm,1432.640,4.451,2.730
Yb,1702.171,4.387,2.623
Lu,1998.379,4.643,1.892
Hf,2360.330,4.751,1.831
Ta,2763.368,4.815,1.764
W,3246.236,4.901,1.740
Re,3804.888,4.890,2.282
Os,4484.376,4.915,0.765
Ir,5218.560,4.899,1.332
Pt,6103.642,4.986,1.500
Au,7084.786,4.987,1.599
Hg,8301.074,5.104,2.034
Tl,9740.107,5.254,2.968
Pb,11340.739,5.411,3.714
Bi,13103.192,5.575,3.596
Po,15023.039,5.713,3.644
At,17307.534,5.871,3.624
Rn,20926.528,6.421,3.874
Fr,24049.540,6.657,3.727
Ra,27822.490,6.973,3.636
Ac,31894.971,7.301,3.523
Th,37230.598,7.767,3.397
Pa,42235.953,7.882,3.359
U,49591.305,7.881,3.324
Np,56282.882,8.047,3.247
Pu,65884.009,8.698,3.342
Am,74663.091,9.038,3.223
Cm,86382.575,10.449,3.144
Bk,98350.202,11.113,3.128
Cf,113576.844,11.859,3.159
Es,0,0,0
Fm,0,0,0
Md,0,0,0
No,0,0,0
Lr,0,0,0
Rf,0,0,0
Db,0,0,0
Sg,0,0,0
Bh,0,0,0
Hs,0,0,0
Mt,0,0,0
Ds,0,0,0
Rg,0,0,0
Cn,0,0,0
Uut,0,0,0
Fl,0,0,0
Uup,0,0,0
Lv,0,0,0
Uus,0,0,0
Uuo,0,0,0
