 Element,         K,      L,       M
       H,0,0,
      He,0,0,
      Li,0,0,
      Be,120.306,0,
       B,6.770,0,
       C,2.689,0,
       N,1.535,0,
       O,1.179,0,
       F,1.138,0,
      Ne,0.831,0,
      Na,0.874,0,
      Mg,0.932,0,
      Al,0.999,0,
      Si,1,0,
       P,1.097,0,
       S,1.047,0,
      Cl,1.102,0,
      Ar,1.199,0,
       K,1.133,0,
      Ca,1.217,33.135,
      Sc,1.254,19.544,
      Ti,1.274,15.568,
       V,1.325,9.727,
      Cr,1.346,5.153,
      Mn,1.433,3.395,
      Fe,1.481,2.166,
      Co,1.599,1.923,
      Ni,1.639,1.595,
      Cu,1.834,1.518,
      Zn,1.964,1.616,
      Ga,2.194,2.019,
      Ge,2.415,1.995,
      As,2.671,2.108,
      Se,3.058,2.151,
      Br,3.401,2.130,
      Kr,3.982,2.222,
      Rb,4.576,2.225,
      Sr,5.358,2.282,
       Y,6.246,2.443,
      Zr,7.398,2.466,
      Nb,8.825,2.428,
      Mo,10.634,2.474,
      Tc,12.770,2.643,
      Ru,15.582,2.617,
      Rh,18.760,2.754,
      Pd,23.041,2.877,
      Ag,27.706,2.947,
      Cd,34.188,3.090,
      In,41.444,3.090,
      Sn,50.988,3.474,
      Sb,62.051,3.599,
      Te,77.315,3.762,
       I,91.183,3.744,
      Xe,111.513,3.843,
      Cs,134.275,3.872,
      Ba,164.418,3.989,208.869
      La,196.339,3.978,31.296
      Ce,234.052,3.978,19.134
      Pr,277.213,3.971,14.566
      Nd,334.258,4.038,11.641
      Pm,395.858,4.050,9.169
      Sm,481.945,4.250,9.057
      Eu,572.152,4.268,6.756
      Gd,694.660,4.399,3.537
      Tb,823.201,4.409,5.228
      Dy,983.711,4.453,4.147
      Ho,1170.531,4.524,3.833
      Er,1382.829,4.551,3.751
      Tm,1632.192,4.600,2.721
      Yb,1947.795,4.539,2.618
      Lu,294.064,4.808,1.893
      Hf,2726.902,4.924,1.824
      Ta,3213.507,4.996,1.761
       W,3795.728,5.088,1.740
      Re,4457.710,5.082,2.407
      Os,5293.433,5.110,0.766
      Ir,6208.547,5.102,1.332
      Pt,7312.664,5.194,1.503
      Au,8551.834,5.208,1.607
      Hg,10111.331,5.328,2.042
      Tl,11939.600,5.490,2.977
      Pb,14029.102,5.660,3.734
      Bi,16401.318,5.837,3.614
      Po,18982.216,5.986,3.668
      At,22114.043,6.157,3.648
      Rn,27059.553,6.741,3.905
      Fr,31471.838,6.994,3.757
      Ra,36949.732,7.333,3.670
      Ac,42991.963,7.668,3.562
      Th,50953.339,8.164,3.436
      Pa,58862.990,8.331,3.398
       U,70419.923,8.276,3.363
      Np,81496.259,8.5,3.286
      Pu,97597.717,9.172,3.389
      Am,13291.806,9.591,3.269
      Cm,34658.842,11.067,3.190
      Bk,57551.276,11.746,3.175
      Cf,87770.308,12.620,3.210
      Es,0,0,0
      Fm,0,0,0
      Md,0,0,0
      No,0,0,0
      Lr,0,0,0
      Rf,0,0,0
      Db,0,0,0
      Sg,0,0,0
      Bh,0,0,0
      Hs,0,0,0
      Mt,0,0,0
      Ds,0,0,0
      Rg,0,0,0
      Cn,0,0,0
     Uut,0,0,0
      Fl,0,0,0
     Uup,0,0,0
      Lv,0,0,0
     Uus,0,0,0
     Uuo,0,0,0
